"Cash on delivery prices","Prezzi contrassegno"
"Local destinations","Destinazioni nazionali"
"Foreign destinations","Destinazioni estere"
"Cash on delivery","Contrassegno"
"Enable Cash on delivery","Attiva contrassegno"
"MSP Cash on delivery prices - Local fee","MSP prezzi contrassegno - Importo nazionale"
"Add New Price Rule","Aggiungi nuova regola prezzo"
"MSP Cash on delivery prices - Foreign fee","MSP prezzi contrassegno - Importo estero"
"From amount","Importo a partire da"
"Apply fee","Applica prezzo"
"Apply from amount","Applica a partire dall'importo"
"Cash on delivery fee","Prezzo contrassegno"
"You will be charged an extra fee of %s","Il servizio prevede un costo addizionale di %s"
"You will be charged an extra fee of %s (Incl. Taxes %s)","Il servizio prevede un costo addizionale di %s (%s Incl. Tasse)"
"You will be charged an extra fee of %s Incl. Taxes","Il servizio prevede un costo addizionale di %s Incl. Tasse"
"Fee Amount","Prezzo aggiuntivo"
"Apply","Applica"
"Cash On Delivery", "Contrassegno"
"Cash on Delivery - %s (%d%%)","Contrassegno - %s (%d%%)"
"Cash on Delivery Tax (%d%%)","IVA sul constrassegno (%d%%)"
"Cash on Delivery Taxes","Tassazione contrassegno"
"Cash On Delivery Taxes","Tassazione contrassegno"
"Tax Class for Cash On Delivery","Classe di tassazione del Contrassegno"
"Display Cash On Delivery Amount","Mostra l'importo del contrassegno"
"This rule already exists, please select another amount","Questa regola è già stata inserita, selezionare un altro importo"
"Fixed Fee","Importo Fisso"
"Percentual Fee","Importo Percentuale"
"Rule was successfully saved","Regola prezzo salvata"
"Add Rule","Aggiungi regola prezzo"
"Edit Rule","Modifica regola prezzo"
"Standard local fixed fee", "Importo nazionale fisso standard "
"Standard foreign fixed fee", "Importo estero fisso standard"
"Calculate subtotal including shipping","Calcola il subtotale includendo la spedizione"
"Calculate subtotal including taxes","Calcola il subtotale includendo le tasse"
"Additional text displayed on the payment method selection","Testo aggiuntivo da mostrare nella selezione del pagamento"
"Cash on delivery price including taxes","Prezzo del contrassegno comprensivo di tasse"